TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,TransactionDate,PreviousTransactionDate,BinningAge,Target
335.63,55.0,216.0,1.0,1019.3899999999999,Debit,Oklahoma City,Online,Retired,2023-01-24 17:17:20,2024-11-04 08:07:32,Medium,1
328.47,63.0,119.0,1.0,4323.66,Debit,San Antonio,ATM,Retired,2023-07-31 18:39:50,2024-11-04 08:07:31,High,1
34.01999999999998,38.0,19.0,1.0,14214.48,Debit,Philadelphia,Online,Doctor,2023-01-09 16:13:21,2024-11-04 08:11:45,Low,0
241.42,57.0,116.0,1.0,13357.02,Credit,Charlotte,Online,Doctor,2023-04-20 18:57:43,2024-11-04 08:09:03,Medium,0
55.31999999999999,19.0,117.0,1.0,241.78999999999996,Debit,Tucson,ATM,Student,2023-04-12 16:03:37,2024-11-04 08:08:03,Very Low,2
304.31,27.0,33.0,1.0,868.6099999999997,Debit,Louisville,Branch,Student,2023-07-26 16:52:28,2024-11-04 08:09:53,Low,2
435.27,74.0,90.0,1.0,4673.28,Debit,Chicago,Branch,Retired,2023-10-04 17:49:29,2024-11-04 08:11:12,High,1
164.49,26.0,75.0,1.0,1509.27,Debit,Baltimore,Branch,Student,2023-12-13 16:01:38,2024-11-04 08:10:33,Very Low,2
510.24,19.0,105.0,1.0,781.6999999999998,Debit,Oklahoma City,Online,Student,2023-10-09 16:29:40,2024-11-04 08:11:35,Very Low,2
626.9,26.0,138.0,1.0,265.5100000000002,Debit,Denver,Online,Student,2023-11-27 16:45:57,2024-11-04 08:07:24,Very Low,2
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,Credit,Sacramento,Online,Engineer,2023-03-27 16:45:18,2024-11-04 08:06:31,Low,2
425.34,69.0,121.0,1.0,3907.54,Credit,Kansas City,Online,Retired,2023-02-13 16:59:39,2024-11-04 08:07:07,High,1
424.56,51.0,264.0,1.0,5183.85,Debit,Omaha,Online,Engineer,2023-02-21 17:45:55,,Medium,1
85.43,67.0,145.0,1.0,14904.9,Debit,Virginia Beach,Branch,Doctor,2023-06-07 16:45:34,2024-11-04 08:06:45,High,0
169.5,28.0,142.0,1.0,918.8800000000001,Debit,San Diego,Branch,Student,2023-09-07 16:51:27,2024-11-04 08:08:58,Low,2
104.63,62.0,90.0,1.0,4477.78,Debit,Omaha,ATM,Retired,2023-03-29 17:47:16,2024-11-04 08:10:42,Medium,1
316.95,25.0,83.0,1.0,1324.0299999999997,Debit,Mesa,Branch,Student,2023-08-04 17:53:40,2024-11-04 08:09:15,Very Low,2
60.539999999999964,57.0,52.0,1.0,3534.93,Credit,Columbus,Branch,Retired,2023-12-14 17:52:37,2024-11-04 08:09:57,Medium,1
292.56,68.0,61.00000000000001,1.0,4638.37,Credit,Dallas,Branch,Retired,2023-03-03 17:37:41,2024-11-04 08:07:49,High,1
386.52,48.0,27.999999999999986,1.0,5630.61,Debit,Indianapolis,Branch,Engineer,2023-06-09 16:18:15,2024-11-04 08:07:09,Medium,1
112.07,23.0,51.0,1.0,930.3000000000002,Debit,Kansas City,Branch,Student,2023-10-02 16:35:22,2024-11-04 08:11:37,Very Low,2
568.52,46.0,152.0,1.0,5499.91,Debit,Indianapolis,ATM,Engineer,2023-10-06 18:44:37,,Medium,1
349.64,48.0,226.0,1.0,6651.62,Debit,Las Vegas,Online,Engineer,2023-11-07 16:48:23,2024-11-04 08:08:09,Medium,0
601.4,56.0,104.0,1.0,8458.29,Credit,Philadelphia,Branch,Engineer,2023-05-30 17:43:25,2024-11-04 08:08:01,Medium,0
5.769999999999982,50.0,124.0,1.0,13988.12,Debit,Charlotte,Online,Doctor,2023-11-02 16:01:40,2024-11-04 08:11:32,Medium,0
201.33,42.0,186.0,1.0,2585.07,Credit,Nashville,Branch,Engineer,2023-03-29 17:00:31,2024-11-04 08:11:41,Low,2
298.42,56.0,225.0,1.0,3014.75,Debit,Indianapolis,Branch,Retired,2023-04-25 16:11:24,2024-11-04 08:10:12,Medium,1
521.06,25.0,128.0,1.0,1951.42,Debit,Albuquerque,Branch,Student,2023-04-18 18:40:47,2024-11-04 08:12:10,Very Low,2
117.28,60.0,16.0,1.0,3665.77,Credit,Austin,Online,Engineer,2023-02-09 16:34:53,2024-11-04 08:07:11,Medium,1
189.12,32.0,103.0,1.0,977.0100000000002,Credit,Indianapolis,,Engineer,2023-11-13 16:42:28,2024-11-04 08:08:42,Low,2
133.55000000000004,44.0,220.0,1.0,3846.28,Debit,Atlanta,ATM,Engineer,2023-07-18 16:12:00,2024-11-04 08:10:18,Low,1
143.21,35.0,135.0,1.0,6374.82,Debit,Dallas,Online,Engineer,2023-01-13 17:00:16,2024-11-04 08:09:26,Low,0
24.769999999999982,62.0,55.0,1.0,5866.01,Debit,Boston,ATM,Retired,2023-07-04 18:20:33,2024-11-04 08:12:15,Medium,1
233.92,26.0,280.0,1.0,6537.62,Credit,Jacksonville,Online,Student,2023-10-20 16:54:28,2024-11-04 08:08:45,Very Low,2
232.12,37.0,51.0,1.0,6689.87,Debit,,ATM,Engineer,2023-12-28 17:31:03,2024-11-04 08:09:17,Low,0
211.36,22.0,113.0,1.0,634.1700000000001,Debit,Kansas City,Online,Student,2023-06-12 17:53:52,2024-11-04 08:08:22,Very Low,2
91.53,44.0,69.0,1.0,14676.05,Debit,Milwaukee,Branch,Doctor,2023-03-13 16:32:12,2024-11-04 08:11:36,Low,0
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,Debit,Miami,Branch,Student,2023-12-18 18:46:27,2024-11-04 08:06:50,Very Low,2
174.25,50.0,67.0,1.0,10528.34,Debit,Seattle,Online,Doctor,2023-07-17 18:54:31,2024-11-04 08:10:29,Medium,0
183.71,38.0,102.0,1.0,552.5200000000004,Debit,Denver,ATM,Engineer,2023-06-19 18:22:10,2024-11-04 08:09:51,Low,2
345.39,58.0,80.0,1.0,6451.96,Credit,Phoenix,,Engineer,,2024-11-04 08:08:16,Medium,1
259.91,49.0,170.0,1.0,7176.86,Debit,Denver,Online,Doctor,2023-11-06 16:34:10,2024-11-04 08:09:38,Medium,0
154.71,34.0,157.0,1.0,1523.7200000000003,Debit,San Diego,Online,Doctor,2023-07-03 16:40:24,2024-11-04 08:09:42,Low,2
24.560000000000002,64.0,69.0,1.0,9869.93,Debit,Mesa,Branch,Doctor,2023-10-20 17:27:35,2024-11-04 08:12:05,High,0
568.07,48.0,115.0,1.0,10556.81,,Washington,ATM,Doctor,2023-08-28 17:03:53,2024-11-04 08:07:32,Medium,0
9.610000000000014,58.0,179.0,1.0,12883.91,Credit,San Diego,Online,Doctor,2023-06-22 18:37:29,2024-11-04 08:09:10,Medium,0
392.96,24.0,100.0,1.0,791.6499999999996,Debit,Kansas City,Online,Student,2023-11-20 16:28:09,2024-11-04 08:08:38,Very Low,2
716.93,60.0,34.0,1.0,4064.02,Credit,Milwaukee,Online,Retired,2023-09-14 16:49:33,2024-11-04 08:08:12,Medium,1
230.66,21.0,135.0,1.0,618.0500000000002,Debit,Houston,Branch,Student,2023-03-27 18:16:04,2024-11-04 08:10:44,Very Low,2
442.12,19.0,260.0,1.0,1375.8000000000002,Debit,Los Angeles,Online,Student,2023-12-21 16:37:03,2024-11-04 08:08:21,Very Low,2
644.17,29.0,72.0,1.0,1143.5199999999995,Debit,San Antonio,ATM,Engineer,2023-03-02 16:05:09,2024-11-04 08:08:04,Low,2
508.68,51.0,127.0,1.0,7708.41,Credit,Mesa,Branch,Engineer,2023-06-26 16:16:50,2024-11-04 08:09:32,Medium,0
858.63,27.0,185.0,1.0,1872.96,Credit,San Francisco,Branch,Student,2023-04-18 17:27:23,2024-11-04 08:10:47,Low,2
25.360000000000014,57.0,78.0,1.0,201.03999999999996,Debit,Louisville,ATM,Engineer,2023-07-17 17:08:24,2024-11-04 08:11:05,Medium,1
147.62,71.0,133.0,1.0,2115.8,Debit,Charlotte,Branch,Retired,2023-09-01 17:26:02,2024-11-04 08:07:22,High,1
115.01999999999998,37.0,175.0,1.0,7643.66,Debit,San Antonio,Branch,Doctor,2023-09-11 16:19:04,2024-11-04 08:08:38,Low,0
383.37,30.0,24.0,1.0,8901.93,Debit,Fort Worth,Branch,Engineer,2023-01-24 17:23:56,2024-11-04 08:11:07,Low,0
98.54000000000002,20.0,167.0,1.0,9383.43,Credit,El Paso,Online,Student,2023-08-11 16:18:46,2024-11-04 08:10:02,Very Low,0
83.23999999999998,55.0,164.0,1.0,1181.3100000000004,,Fort Worth,Branch,Doctor,2023-10-16 18:35:11,2024-11-04 08:10:52,Medium,1
196.16,27.0,146.0,1.0,9418.86,Debit,Virginia Beach,Branch,Engineer,2023-02-24 16:29:23,2024-11-04 08:08:32,Low,0
129.94,32.0,235.0,1.0,7954.92,Debit,Las Vegas,ATM,Engineer,2023-01-02 16:36:02,2024-11-04 08:06:35,Low,0
306.9,46.0,51.0,1.0,9418.08,Debit,Colorado Springs,Online,Engineer,2023-11-30 16:31:03,2024-11-04 08:10:48,Medium,0
114.98000000000002,59.0,80.0,1.0,6144.68,Debit,Seattle,Online,Retired,2023-11-01 16:52:01,2024-11-04 08:09:24,Medium,1
756.59,27.0,17.0,1.0,420.64999999999964,Debit,Sacramento,Branch,Student,2023-03-06 16:47:02,2024-11-04 08:11:40,Low,2
503.76,22.0,35.0,1.0,447.8199999999997,Debit,Los Angeles,Online,Student,2023-11-27 18:32:49,2024-11-04 08:09:22,Very Low,2
143.03,63.0,147.0,1.0,7981.45,Debit,San Antonio,ATM,Retired,2023-07-31 16:37:46,2024-11-04 08:10:42,High,1
245.54,25.0,180.0,1.0,985.0599999999995,,New York,ATM,Student,2023-03-21 16:29:31,2024-11-04 08:10:26,Very Low,2
254.37,51.0,174.0,1.0,8849.26,Credit,Dallas,Online,Engineer,2023-04-20 18:26:50,2024-11-04 08:06:56,Medium,0
213.76,78.0,282.0,1.0,3528.72,Credit,Dallas,ATM,Retired,2023-03-01 17:52:14,2024-11-04 08:09:36,High,1
327.86,40.0,104.0,1.0,480.15999999999985,Debit,Fresno,Online,Engineer,2023-02-10 16:52:48,2024-11-04 08:06:30,Low,2
2.5,47.0,107.0,1.0,12145.27,Debit,San Diego,Online,Doctor,2023-07-21 16:43:11,2024-11-04 08:09:53,Medium,0
300.08,68.0,47.0,1.0,13546.75,Credit,Austin,Online,Doctor,2023-10-09 17:02:43,2024-11-04 08:12:18,High,0
407.65,26.0,62.0,1.0,8346.64,Debit,Boston,Online,Engineer,2023-07-07 16:11:38,,Very Low,0
115.82999999999998,39.0,167.0,1.0,6481.04,Debit,Fresno,Branch,Engineer,2023-05-22 17:09:52,2024-11-04 08:10:02,Low,0
53.56999999999999,69.0,121.0,1.0,1651.33,Debit,Houston,ATM,Retired,2023-08-16 16:17:12,2024-11-04 08:08:43,High,1
63.34,46.0,165.0,1.0,11174.94,Credit,Detroit,Online,Doctor,2023-11-17 16:02:02,2024-11-04 08:10:13,Medium,0
317.87,27.0,91.0,1.0,145.5,Debit,Detroit,Online,Student,,2024-11-04 08:11:32,Low,2
331.65,41.0,61.00000000000001,1.0,4172.57,Debit,Portland,Online,Engineer,2023-08-25 17:26:07,2024-11-04 08:11:00,Low,2
5.0400000000000205,56.0,41.0,1.0,5558.36,Debit,Washington,ATM,Retired,2023-11-27 16:38:34,2024-11-04 08:10:48,Medium,1
214.54,70.0,247.0,1.0,11151.53,Credit,Detroit,Online,Doctor,2023-08-04 17:46:44,2024-11-04 08:11:56,High,0
598.81,57.0,158.0,1.0,1415.52,Debit,Philadelphia,Branch,Doctor,2023-09-04 16:48:35,2024-11-04 08:10:13,Medium,1
841.28,26.0,80.0,1.0,1103.6400000000003,Debit,Tucson,Online,Student,2023-08-09 17:34:26,2024-11-04 08:09:58,Very Low,2
38.14999999999998,26.0,108.0,1.0,303.6800000000003,Debit,Mesa,Online,Student,2023-09-07 16:07:40,2024-11-04 08:07:42,Very Low,2
124.72,33.0,105.0,1.0,6309.8,Debit,Oklahoma City,Branch,Engineer,2023-07-03 17:14:07,2024-11-04 08:07:25,Low,0
302.45,78.0,40.0,1.0,5133.61,Credit,San Antonio,Branch,Retired,2023-09-25 17:13:36,2024-11-04 08:11:55,High,1
208.04,47.0,273.0,1.0,9344.98,Debit,Louisville,Online,Engineer,2023-11-20 17:10:02,2024-11-04 08:08:45,Medium,0
5.769999999999982,23.0,254.0,1.0,1117.9699999999998,Credit,Los Angeles,Branch,Student,2023-11-17 17:27:07,2024-11-04 08:10:53,Very Low,2
381.33,56.0,75.0,1.0,11835.35,Debit,Albuquerque,ATM,Doctor,2023-08-21 16:46:05,2024-11-04 08:09:32,Medium,0
16.160000000000025,50.0,124.0,1.0,14401.17,Debit,Milwaukee,ATM,Doctor,2023-10-16 16:59:36,2024-11-04 08:11:59,Medium,0
486.08,18.0,68.0,1.0,1748.69,Debit,Oklahoma City,Online,Student,2023-06-20 17:21:50,2024-11-04 08:07:03,Very Low,2
336.39,21.0,18.0,1.0,1000.46,Debit,San Antonio,Branch,Student,2023-01-16 16:53:38,2024-11-04 08:09:57,Very Low,2
234.57,23.0,120.0,1.0,263.97999999999956,Debit,Chicago,Online,Student,2023-09-01 16:09:08,2024-11-04 08:08:47,Very Low,2
6.0,30.0,246.0,1.0,5442.76,Debit,Chicago,Online,Doctor,2023-10-23 18:38:15,2024-11-04 08:09:43,Low,2
227.14,18.0,294.0,1.0,341.9399999999996,Debit,Charlotte,ATM,Student,2023-07-03 17:42:08,2024-11-04 08:11:34,Very Low,2
233.74,66.0,17.0,1.0,1066.5900000000001,Credit,Oklahoma City,Online,Retired,2023-10-24 16:41:00,2024-11-04 08:11:17,High,1
211.36,69.0,166.0,1.0,6077.96,Credit,Jacksonville,Branch,Retired,2023-09-25 16:54:22,2024-11-04 08:07:21,High,1
45.849999999999994,20.0,92.0,1.0,1659.15,Debit,Los Angeles,ATM,Student,2023-02-16 17:57:10,2024-11-04 08:07:24,Very Low,2
415.5,66.0,141.0,1.0,10113.66,Debit,Memphis,ATM,Doctor,2023-07-28 16:29:23,2024-11-04 08:10:23,High,0
265.76,54.0,92.0,1.0,4446.17,Debit,Philadelphia,Online,Retired,2023-02-06 17:48:55,2024-11-04 08:12:18,Medium,1
69.4,80.0,113.0,1.0,6452.77,Debit,Virginia Beach,Online,Retired,2023-07-24 18:08:43,2024-11-04 08:09:04,High,1
332.93,35.0,293.0,1.0,2788.2,Credit,Albuquerque,Branch,Engineer,2023-11-20 16:29:48,2024-11-04 08:08:14,Low,2
267.9,20.0,160.0,1.0,596.1599999999999,Debit,San Antonio,Online,Student,2023-10-09 16:52:47,2024-11-04 08:08:34,Very Low,2
496.03,61.0,265.0,1.0,12904.66,Debit,San Francisco,Branch,Doctor,2023-11-03 16:45:52,2024-11-04 08:09:41,Medium,0
376.26,37.0,245.0,1.0,9062.4,Debit,Tucson,ATM,Engineer,2023-02-15 16:41:11,2024-11-04 08:09:58,Low,0
83.01999999999998,36.0,171.0,1.0,9009.56,Credit,Seattle,Online,Engineer,2023-09-04 17:59:51,2024-11-04 08:11:01,Low,0
93.25999999999999,20.0,72.0,1.0,1152.1999999999998,Credit,New York,Online,Student,2023-07-27 16:22:52,2024-11-04 08:12:04,Very Low,2
803.37,68.0,129.0,1.0,12168.37,Credit,Memphis,Branch,Doctor,2023-04-17 16:08:34,2024-11-04 08:08:40,High,0
35.75999999999999,23.0,122.0,1.0,611.8599999999997,Debit,Charlotte,Branch,Student,2023-09-19 17:38:18,2024-11-04 08:11:40,Very Low,2
28.529999999999973,62.0,99.0,1.0,8670.53,Debit,Washington,Online,Doctor,2023-05-31 16:37:39,2024-11-04 08:06:30,Medium,0
139.53,53.0,177.0,1.0,10098.86,Credit,Louisville,Online,Doctor,2023-10-09 17:20:09,2024-11-04 08:07:31,Medium,0
307.57,33.0,285.0,1.0,5307.74,Debit,Detroit,Branch,Doctor,2023-01-09 16:12:01,2024-11-04 08:06:33,Low,2
60.650000000000006,56.0,53.0,1.0,1047.2799999999997,Credit,Tucson,Branch,Retired,2023-05-26 18:15:08,2024-11-04 08:09:22,Medium,1
74.86000000000001,70.0,125.0,1.0,6921.48,Debit,Nashville,Branch,Doctor,2023-08-14 17:43:17,2024-11-04 08:07:39,High,1
211.36,51.0,137.0,1.0,1475.46,Debit,Kansas City,Branch,Retired,2023-11-24 18:51:32,2024-11-04 08:09:21,Medium,1
231.91,34.0,165.0,1.0,112.76000000000022,Debit,Memphis,ATM,Engineer,2023-01-31 18:31:22,2024-11-04 08:12:15,Low,2
126.20999999999998,75.0,268.0,1.0,5669.66,Debit,Baltimore,Branch,Retired,2023-02-14 16:07:01,2024-11-04 08:08:42,High,1
304.35,31.0,36.0,1.0,4057.1,Debit,Houston,Branch,Engineer,2023-12-04 17:07:34,2024-11-04 08:08:45,Low,2
281.85,22.0,109.0,1.0,1585.98,Debit,Detroit,ATM,Student,2023-05-16 17:26:37,2024-11-04 08:07:38,Very Low,2
777.88,31.0,17.0,1.0,6825.55,Debit,Houston,Branch,Engineer,2023-03-20 16:58:12,2024-11-04 08:09:15,Low,0
119.18,56.0,96.0,1.0,5516.5,Debit,Los Angeles,Branch,Retired,2023-08-25 18:01:38,2024-11-04 08:07:34,Medium,1
177.19,76.0,43.000000000000014,1.0,5343.3,Debit,Chicago,Online,Retired,2023-05-15 17:25:28,2024-11-04 08:06:30,High,1
260.88,22.0,36.0,1.0,903.0500000000002,Debit,Denver,Branch,Student,2023-05-29 16:50:10,2024-11-04 08:06:52,Very Low,2
169.47,24.0,19.0,1.0,1806.1599999999999,Debit,Chicago,Online,Student,2023-03-22 16:10:14,2024-11-04 08:07:37,Very Low,2
73.23000000000002,26.0,13.999999999999986,1.0,787.7399999999998,Debit,Portland,Branch,Student,2023-05-19 16:52:53,2024-11-04 08:11:12,Very Low,2
792.57,19.0,164.0,1.0,770.3699999999999,Debit,Baltimore,ATM,Student,2023-05-22 16:22:36,2024-11-04 08:10:39,Very Low,2
237.06,71.0,46.0,1.0,1182.7699999999995,Debit,Phoenix,Online,Retired,2023-12-18 16:47:17,2024-11-04 08:07:50,High,1
34.170000000000016,54.0,54.0,1.0,726.5500000000002,Credit,Philadelphia,Online,Engineer,2023-11-21 16:57:43,2024-11-04 08:06:29,Medium,1
740.25,41.0,123.0,1.0,14464.3,Debit,Philadelphia,Online,Doctor,2023-07-19 17:03:58,2024-11-04 08:08:27,Low,0
453.54,58.0,82.0,1.0,12046.3,Debit,Albuquerque,ATM,Doctor,2023-04-19 16:36:03,2024-11-04 08:12:06,Medium,0
300.47,73.0,100.0,1.0,7885.64,Debit,Jacksonville,Branch,Retired,2023-11-13 16:11:52,2024-11-04 08:08:00,High,1
110.93,19.0,201.0,1.0,1952.35,Credit,Virginia Beach,Branch,Student,2023-04-07 16:38:15,2024-11-04 08:10:53,Very Low,2
201.69,59.0,299.0,1.0,7328.52,Debit,Las Vegas,ATM,Doctor,2023-01-03 16:46:36,2024-11-04 08:10:16,Medium,1
399.21,59.0,109.0,1.0,3210.39,Debit,Portland,ATM,Engineer,2023-01-30 16:15:49,2024-11-04 08:08:21,Medium,1
630.36,62.0,52.0,1.0,1363.65,Debit,Mesa,ATM,Retired,2023-03-02 16:11:53,2024-11-04 08:12:15,Medium,1
10.939999999999998,60.0,245.0,1.0,1241.9899999999998,Credit,Philadelphia,ATM,Engineer,2023-10-23 17:24:07,2024-11-04 08:11:53,Medium,1
215.9,38.0,235.0,1.0,7873.28,Debit,Los Angeles,ATM,Doctor,2023-01-04 16:02:09,2024-11-04 08:10:23,Low,0
226.37,49.0,141.0,1.0,9840.04,,Louisville,Branch,Doctor,2023-09-18 17:07:08,2024-11-04 08:09:56,Medium,0
444.89,43.0,101.0,1.0,10328.23,Credit,Las Vegas,Branch,Doctor,2023-09-11 16:27:39,2024-11-04 08:11:50,Low,0
280.57,25.0,24.0,1.0,293.2399999999998,Credit,Virginia Beach,Online,Student,2023-01-27 17:35:05,2024-11-04 08:10:24,Very Low,2
488.54,52.0,132.0,1.0,7486.63,Debit,Jacksonville,Branch,Engineer,2023-07-03 17:47:49,2024-11-04 08:07:26,Medium,0
3.3000000000000114,50.0,131.0,1.0,11385.37,Credit,Los Angeles,Branch,Doctor,2023-03-27 16:42:16,2024-11-04 08:10:11,Medium,0
199.39,69.0,165.0,1.0,7264.79,,Colorado Springs,Branch,Retired,2023-08-21 16:16:22,2024-11-04 08:09:06,High,1
20.360000000000014,62.0,75.0,1.0,2762.48,Debit,Tucson,Branch,Retired,2023-07-24 17:02:18,2024-11-04 08:11:15,Medium,1
113.64000000000001,45.0,32.0,1.0,6675.03,Debit,Detroit,Online,Retired,2023-10-24 17:09:41,2024-11-04 08:07:55,Medium,0
493.11,53.0,236.0,1.0,7432.99,Debit,Colorado Springs,Branch,Retired,2023-07-31 16:25:26,2024-11-04 08:08:01,Medium,0
307.41,19.0,13.999999999999986,1.0,1057.0000000000005,Debit,Los Angeles,ATM,Student,2023-06-12 17:32:52,2024-11-04 08:09:48,Very Low,2
11.180000000000007,43.0,161.0,1.0,5956.89,Debit,Atlanta,Online,Doctor,2023-11-30 16:52:42,2024-11-04 08:10:20,Low,0
313.82,59.0,151.0,1.0,7261.59,Debit,Tucson,Branch,Engineer,2023-11-15 18:57:38,2024-11-04 08:08:42,Medium,1
51.0,64.0,107.0,1.0,4943.16,Debit,Seattle,Branch,Retired,2023-01-30 16:00:38,2024-11-04 08:08:23,High,1
140.98,60.0,100.0,1.0,8127.48,Debit,Memphis,Branch,Engineer,2023-05-25 16:34:22,2024-11-04 08:12:13,Medium,1
288.04,68.0,63.0,1.0,1748.02,Debit,Denver,ATM,Retired,2023-08-24 16:47:21,2024-11-04 08:10:00,High,1
800.55,31.0,108.0,1.0,9660.22,Debit,Oklahoma City,ATM,Engineer,2023-05-04 16:21:31,2024-11-04 08:06:49,Low,0
485.54,46.0,143.0,1.0,6371.51,Debit,Houston,ATM,Engineer,2023-02-06 17:46:59,2024-11-04 08:11:46,Medium,0
521.15,54.0,214.0,1.0,9442.47,Debit,Kansas City,ATM,Doctor,2023-02-17 18:16:05,2024-11-04 08:07:31,Medium,0
321.79,63.0,112.0,1.0,5959.2,Credit,Raleigh,ATM,Retired,2023-08-07 17:30:33,2024-11-04 08:10:01,High,1
304.93,65.0,158.0,1.0,13531.22,Debit,Portland,ATM,Doctor,2023-02-24 16:23:22,2024-11-04 08:08:15,High,0
432.08,40.0,145.0,1.0,11500.62,,El Paso,ATM,Doctor,2023-07-31 16:04:55,2024-11-04 08:11:46,Low,0
